types,normal,fire,water,electric,grass,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
normal,,,,,,,,,,,,,0.5,0,,,0.5,
fire,,0.5,0.5,,2,2,,,,,,2,0.5,,0.5,,2,
water,,2,0.5,,0.5,,,,2,,,,2,,0.5,,,
electric,,,2,0.5,0.5,,,,0,2,,,,,0.5,,,
grass,,0.5,2,,0.5,,,0.5,2,0.5,,0.5,2,,0.5,,0.5,
ice,,0.5,0.5,,2,0.5,,,2,2,,,,,2,,0.5,
fighting,2,,,,,2,,0.5,,0.5,0.5,0.5,2,0,,2,2,0.5
poison,,,,,2,,,0.5,0.5,,,,0.5,0.5,,,0,2
ground,,2,,2,0.5,,,2,,0,,0.5,2,,,,2,
flying,,,,0.5,2,,2,,,,,2,0.5,,,,0.5,
psychic,,,,,,,2,2,,,0.5,,,,,0,0.5,
bug,,0.5,,,2,,0.5,0.5,,0.5,2,,,0.5,,2,0.5,0.5
rock,,0.5,,,,2,0.5,,0.5,2,,2,,,,,0.5,
ghost,0,,,,,,,,,,2,,,2,,0.5,,
dragon,,,,,,,,,,,,,,,2,,0.5,0
dark,,,,,,,0.5,,,,2,,,2,,0.5,,0.5
steel,,0.5,0.5,0.5,,2,,,,,,,2,,,,0.5,2
fairy,,0.5,,,,,2,0.5,,,,,,,2,2,0.5,